id,lot,wafer,die,x,y,lum,std,path,h
1277,OSD190234,6,OSD190234-Brutes-06-04,6,4,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-04.bmp,9wgm3W1HVaDJb+hzAJXGdEn9rMKaK8gmi/m1gAPr2FO6D1uG/FHuR+wL834mM4R+VABSE7+TZX07434/SnYs0A==
1278,OSD190234,6,OSD190234-Brutes-06-05,6,5,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-05.bmp,17SA7xYjbxWmoQ9/P7B07CUsQsuOExCTDGz9mmk7Fhm/l5mDFrRP1ks9Rg1pUMBNN5CmDvCCH2Hh4L50OFrxGQ==
1279,OSD190234,6,OSD190234-Brutes-06-06,6,6,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-06.bmp,KtLH3dRXQcAcHD/qFPX17ejiOAJ4e8HUWKyXA8Nt5GRmkn0ZqI2KkDatza5L5tGdpkc+UI/YEajX8CehCW7f+Q==
1280,OSD190234,6,OSD190234-Brutes-06-07,6,7,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-07.bmp,mKbS3yBa48jVy7u72ft8LDvc/Ov9q1CbnTh1rAQ7j9KYOQjwT6P6Uf4RYDYEwRqkvGEqd+1hYQoUg9L3ld7BJw==
1281,OSD190234,6,OSD190234-Brutes-06-08,6,8,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-08.bmp,nMO+FvGcING7VKXWR0A1mopH4i6s2hIN9NhXoUTdtvomEyZ/fi7sjT14969nFActFyUFLw7rzaWxm3ICMBClWA==
1282,OSD190234,6,OSD190234-Brutes-06-09,6,9,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-09.bmp,fkCdZcnhUOzW2Ab9PnPFGf82Idf4jldkA+muwF7zHjLZuPSUiq8u59hy9tJzc11y64sZrCd4p1Yhoq5piBLATw==
1283,OSD190234,6,OSD190234-Brutes-06-10,6,10,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-10.bmp,wEkZUKtW5cpPaRml1m6MvX92FeFUPfc4dZiQ8GePNvQnhcW6HZH68hX3lwBrY0+P9I18dXPDqs9TClBivHMujg==
1284,OSD190234,6,OSD190234-Brutes-06-11,6,11,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-11.bmp,CW+hGqXViZQKWaiBrSLTApBnlQAKHkXigL2eXYm2j2W8ZrArY2aKDyXWL6ov5GCNbUwBacxSulzNkR5+FvOv+Q==
1285,OSD190234,6,OSD190234-Brutes-06-12,6,12,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-12.bmp,GhyfyDQTAWzNokoU0xW87NbIple7cH3YnGJtGpVTMcuVx5BuW2M5ri0VemGWvT0jioMoEWTqlqpcu3LywpGoTQ==
1286,OSD190234,6,OSD190234-Brutes-06-13,6,13,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-13.bmp,a+zFt8UtvdTtxuiO1eJ8DrKY8Xntzl4QT8WKVRW2BQwBt9CEhE/ngeTcoPtRhCcdxI+iNo06M2SnClah/5wWpw==
