id,lot,wafer,die,x,y,lum,std,lummin,lummax,path,h
10,OSD185236,1,OSD185236-Brutes-01-11,1,11,115.63,14.82,70,176,img-small/02-crop/die-10-OSD185236-Brutes-01-11-crop.bmp,JsQgjESs25wXw6twzEC4Igz5x2+NKxzJD2znDCshq4WcYjui6bsjQ6Y1HctizBlJaWzMoGYaEE4yiZ/IMNX/Wg==
11,OSD185236,1,OSD185236-Brutes-01-12,1,12,144.23,8.93,109,203,img-small/02-crop/die-11-OSD185236-Brutes-01-12-crop.bmp,ta+z3Ow9xrxq/TPFm/cLbVAIZ2/O58Ixh51TuzLhUEgOHlPyhAbMvGWso4Wp0k4oTt5RjZt/Yo9c51TcSLaz8Q==
12,OSD185236,1,OSD185236-Brutes-01-13,1,13,152.43,10.13,114,211,img-small/02-crop/die-12-OSD185236-Brutes-01-13-crop.bmp,fGrNlA0tZpYJwihWCzZch2Ec578rHJPbxo0OVRAnUCLGpPkE+IxjRZUpf6Eb2AVf9kj+/GNOxVEQyG+/FKMTAw==
13,OSD185236,1,OSD185236-Brutes-01-14,1,14,151.64,10.6,109,219,img-small/02-crop/die-13-OSD185236-Brutes-01-14-crop.bmp,c48VNt3TEgsIWN7h6vLh/cp2vvZURprmucoAk2MB6a76pFmwBEnMO6nUXya2AkD/SWzjtdOwVaSfrOBH+zVl1w==
14,OSD185236,1,OSD185236-Brutes-01-15,1,15,149.12,10.2,114,212,img-small/02-crop/die-14-OSD185236-Brutes-01-15-crop.bmp,w+9exHAjfPG1/hOKFro4zgY2Ld8iJx31Ip4CfoPU+3buK9BlW0KH/VoVj0mXnO1YRYjDmGedcl+476/iAmwGUQ==
15,OSD185236,1,OSD185236-Brutes-01-16,1,16,132.14,14.91,85,205,img-small/02-crop/die-15-OSD185236-Brutes-01-16-crop.bmp,uda2M56lCXlMhgUQ+elhf2j3EbQFARDjabehvbvPCcwb3H88glCTqk1qmNjxbkQvLR88J2kItTpi7jxXoUhsbg==
16,OSD185236,1,OSD185236-Brutes-01-17,1,17,126.74,13.38,81,187,img-small/02-crop/die-16-OSD185236-Brutes-01-17-crop.bmp,KjQUyItj+HNN6ydFPmKf14sNevx2dcM9veKnGGpIn1DP/39d6y/aedLiO//yGXWRCYDheUX2bvV3/+W5M6XiAA==
17,OSD185236,1,OSD185236-Brutes-01-18,1,18,146.08,9.43,111,198,img-small/02-crop/die-17-OSD185236-Brutes-01-18-crop.bmp,5shiVJzDYxqoGMaW2ZMbRydgJJMOUmHGLL2wMMuhQStxv19qZqy7Rg1Hz5erah1yAPQ0J1R+6JkFlPXcsC4dLA==
18,OSD185236,1,OSD185236-Brutes-01-19,1,19,149.64,9.45,116,205,img-small/02-crop/die-18-OSD185236-Brutes-01-19-crop.bmp,bYOH8mnWtbbvXsFgdze/wWhQMIzbOzrLCncUopkiFFVbIKYdmTPLnYupyizdV3oBPBYN4ak2E3d/Drqp1yzH7g==
19,OSD185236,1,OSD185236-Brutes-01-20,1,20,149.09,9.67,116,208,img-small/02-crop/die-19-OSD185236-Brutes-01-20-crop.bmp,aBHm1UvNE4AwIJQDks67D6c7GjpILI8bP4uDxb4s0SWvvk+FhADZ8l7EcwIUVHiJd0FYTpYjy5C01sTZSBNhRg==
20,OSD185236,1,OSD185236-Brutes-01-21,1,21,145.41,10.04,108,206,img-small/02-crop/die-20-OSD185236-Brutes-01-21-crop.bmp,vzkLEE2Nfb15xruf3868NyXlESbTCLqghe9FTcy7AcPk68be4ltyCka3QeI7He7BQGMG3mBPx9412NMxWe8//Q==
21,OSD185236,1,OSD185236-Brutes-01-22,1,22,128.74,18.52,0,202,img-small/02-crop/die-21-OSD185236-Brutes-01-22-crop.bmp,bhxRPRTOZnxA+kc5EpGjr2kgh2ZpcoOqBnnxdOiPIblFiaO6QxhYrHtf7Sjhfi+JRtmozoJgbU5RlfDkRfIptA==
22,OSD185236,1,OSD185236-Brutes-01-23,1,23,142.18,11.96,100,204,img-small/02-crop/die-22-OSD185236-Brutes-01-23-crop.bmp,8YuqlDvxXvaaGlbLp00CkeuXz2MBv9VaEtDBdT3+MxUjjjxPuuJKr+8juQTkaDdS8lcb4RNjBFB4jWZiST+cDg==
23,OSD185236,1,OSD185236-Brutes-01-24,1,24,141.78,12.53,100,205,img-small/02-crop/die-23-OSD185236-Brutes-01-24-crop.bmp,Vw5EEEa8gFtfWRoeU2UL3p2zc05kgoNydhQXxl8yiAmN/TAFoz5nD94wTZSDk1OVWnthcde7yrmxxZtjXxaFlA==
24,OSD185236,1,OSD185236-Brutes-01-25,1,25,139.28,12.45,97,207,img-small/02-crop/die-24-OSD185236-Brutes-01-25-crop.bmp,QfgxEo2pxnWMh0l0wfQ9r2h9BpJqyXqD19ly8EL/MAt/U4Yax6ZiFTxjNtOwphATyBQpCmaT7Nl+tG/7UnST6g==
25,OSD185236,1,OSD185236-Brutes-01-26,1,26,138.76,11.54,101,205,img-small/02-crop/die-25-OSD185236-Brutes-01-26-crop.bmp,JXnHeSwlAgB3X/v0VS0ZlF4gtklYn6DrEdF47z+uBEKEknRuEVxb+Lib8oAocgjviTV80SlvpGVOIw58kJpQwQ==
