id,lot,wafer,die,x,y,lum,std,lummin,lummax,path,h
1159,OSD190234,1,OSD190234-Brutes-01-16,1,16,125.05,14.57,80,201,img/02-crop/die-1159-OSD190234-Brutes-01-16-crop.bmp,B1sAyxKJRJ9kVzrUmUB4FFsupGwnShtxpvRk1C3Zr7Ir0En/klCGHDyHFolu9sdlrwzcEoNPKc7YYqtrAwFCwA==
1160,OSD190234,1,OSD190234-Brutes-01-17,1,17,117.35,13.65,73,182,img/02-crop/die-1160-OSD190234-Brutes-01-17-crop.bmp,p4q8RopP/9Sc19u7z2qQcewVDx81lO5MEvH4ayenBu2006qHsZf44g4tBuNFnL9f4jJgGuT+Nsc225fS5Jzotw==
1161,OSD190234,1,OSD190234-Brutes-01-18,1,18,135.55,10.26,102,192,img/02-crop/die-1161-OSD190234-Brutes-01-18-crop.bmp,M5gmT6HcJs1nScpDPcFp5hgJeeFyrEHQ9pvU00sWjFlALMBFr04r8ViivR5jkXL04sKWB83+u9CRDgMj4+2kuA==
1162,OSD190234,1,OSD190234-Brutes-01-19,1,19,138.96,10.16,103,199,img/02-crop/die-1162-OSD190234-Brutes-01-19-crop.bmp,FSe/XDRS2cT+Uqp1lnOE6OCobrgnksSe+sm+CDxwocIoBpev5JDkq2uX+aqcAzWzVXd3dCvRGwgTnpIsw1JJEw==
1163,OSD190234,1,OSD190234-Brutes-01-20,1,20,138.65,10.33,105,203,img/02-crop/die-1163-OSD190234-Brutes-01-20-crop.bmp,rraxtxmrI7+E3ygwLpyctdKjk+vzr/vgwFj3J+D7pAHJoNxEmEpi3XDnYSxUYR1HZnXRIv+Z7G+COsbBkiRvPA==
1164,OSD190234,1,OSD190234-Brutes-01-21,1,21,135.56,10.61,99,197,img/02-crop/die-1164-OSD190234-Brutes-01-21-crop.bmp,ptNgfq9a+Q6g7CkLOqYW4MEsE4K8YaR5gNd5TYywXYM6ThGhIT0penJZsinIEMWb9SQcC+PmEhHOO+Zeb83VFA==
1165,OSD190234,1,OSD190234-Brutes-01-22,1,22,121.35,17.59,0,191,img/02-crop/die-1165-OSD190234-Brutes-01-22-crop.bmp,h8TviFnzqooL6kjOkneqyoIISeniOAR1ytgjhG9KdwoEsft+jHmnxPIGl+ySG3Nd2xy+6ugtAWv3pzWd+Vnxwg==
1166,OSD190234,1,OSD190234-Brutes-01-23,1,23,130.82,12.61,93,199,img/02-crop/die-1166-OSD190234-Brutes-01-23-crop.bmp,uBcQm9mmlggdiWPFu6iEyvw22hg+mRTBtvADYubAs6kCtgi/dPZ5kxm3gikMDEMSYPGIjM9y83xuIjSpJmb/MQ==
1167,OSD190234,1,OSD190234-Brutes-01-24,1,24,130.48,12.79,91,202,img/02-crop/die-1167-OSD190234-Brutes-01-24-crop.bmp,HrrbUne/d2jC0Q3ek9hljV6PJX9SoaVv7BjIzvs5QMpl+ibr+AsE/0exVc7svMz5zSnIU3dmJBsyzYg5WnMRBA==
1168,OSD190234,1,OSD190234-Brutes-01-25,1,25,128.97,12.75,67,201,img/02-crop/die-1168-OSD190234-Brutes-01-25-crop.bmp,dLyU6MvOMootGN5mCIbOX/IgL7N44Lj8ttWkk7iO7586reZRhJutPgWtELsNtaIhPaxeR+S0b75hRZo8EdaUfA==
1169,OSD190234,1,OSD190234-Brutes-01-26,1,26,129.1,12.23,95,195,img/02-crop/die-1169-OSD190234-Brutes-01-26-crop.bmp,rjkJYIBi6+CU6gRKlFMXuB6/ryceyep+h3rjvyJDlMkJMlh3UYiOUmeeg+kKPFi6s9pj4ZL1xwF78Y+8OhZGHg==
1170,OSD190234,2,OSD190234-Brutes-02-01,2,1,135.73,11.88,94,212,img/02-crop/die-1170-OSD190234-Brutes-02-01-crop.bmp,1uJ0RiHgXn5q+tBUG4rgEJ/9CjVrl3I+M+QrbnSNkyKOURxMcfQUFQq/X6B7w05Xnc3avibZr4dAHXaALRiBsQ==
1171,OSD190234,2,OSD190234-Brutes-02-02,2,2,137.57,11.27,97,197,img/02-crop/die-1171-OSD190234-Brutes-02-02-crop.bmp,cvPBbGP82agvdryhcdo+/POenBViAEW/MEtJlVjej28wZJ73A7N3LcVe7ujBRuk8MDBWrh5L4e0badyNsKIU0w==
1172,OSD190234,2,OSD190234-Brutes-02-03,2,3,137.75,11.11,98,197,img/02-crop/die-1172-OSD190234-Brutes-02-03-crop.bmp,6Ha9Hn2JB93VvJ37gx/0wgy1YrdZV4otwSg6IdgeMx3UfwX4RRsyDPvfPKcEmjfOet/FJRDgYJR4KGbHcc95Eg==
1173,OSD190234,2,OSD190234-Brutes-02-04,2,4,137.26,11.83,98,208,img/02-crop/die-1173-OSD190234-Brutes-02-04-crop.bmp,5Nc49QibOqZQC/MYfLOPLEqYT4SIVxa0Ny5I7o4/xbFUR61dYEoauuSxOi/MaUZ2/URnpdQ8CEl57DMihhbd1A==
1174,OSD190234,2,OSD190234-Brutes-02-05,2,5,112.76,12.64,73,182,img/02-crop/die-1174-OSD190234-Brutes-02-05-crop.bmp,0TOLsAODOw/EkniteBa4kAwcuSUYIyKDuQ+6iKKNzKneqnLbXBBIVQ/ctVuDJ1GQ8L/+WtlVl7BFndheoMyhyg==
1175,OSD190234,2,OSD190234-Brutes-02-06,2,6,135.98,10.37,100,200,img/02-crop/die-1175-OSD190234-Brutes-02-06-crop.bmp,7HBIZTJG0w9cEU9+NBrFXnyxgQ6zVgbypklBu/kdK4ZPvbuVaH1laCEH8u75vhfmbNfOicxD7pQWbGzioQ/wog==
1176,OSD190234,2,OSD190234-Brutes-02-07,2,7,146.7,10.71,115,209,img/02-crop/die-1176-OSD190234-Brutes-02-07-crop.bmp,HfJyTx1c1iFwTcCShfgXpd6SnEJXTf7XYZrv9vG6hFrtMW3r/N5krgwYJ6Rcfbi13wmHMVjS1yy0E0PeGbLOFQ==
1177,OSD190234,2,OSD190234-Brutes-02-08,2,8,146.17,11.07,106,213,img/02-crop/die-1177-OSD190234-Brutes-02-08-crop.bmp,RHzLLhOb8a4Z6yUK2NACdOb5WD3NzwzOuuyhrumL3almEN8RilFGITj/OYUYdMSABUJl6F6M/kmh6R3PpbTkTA==
1178,OSD190234,2,OSD190234-Brutes-02-09,2,9,143.58,10.88,112,208,img/02-crop/die-1178-OSD190234-Brutes-02-09-crop.bmp,L8zehTFKwQoW+a9XvNxr3jf8miU3hNeaXlnsDy0SsdJ03Fxq0GK6ANMKJ/f7iQKa48Z6fk1bx7P52xVSfVKO6Q==
1179,OSD190234,2,OSD190234-Brutes-02-10,2,10,128.12,17.53,0,205,img/02-crop/die-1179-OSD190234-Brutes-02-10-crop.bmp,/GbuwMORgY7FNnumMS9fPYdhxApVzPhCv6pbEZg7s+1NDB2JaQ+ND7T1YMeyz74l/q0CXk4aAadI7tpf/4AHcQ==
1180,OSD190234,2,OSD190234-Brutes-02-11,2,11,110.45,14.7,63,179,img/02-crop/die-1180-OSD190234-Brutes-02-11-crop.bmp,Ggs4+f7R+xXik2a9TvXK5i05GyXCT4pBrEaAgy8pmdlPLJEgagT+GCr/6qXupUtbZZta8pXBTyKVtzBXnTtaeA==
1181,OSD190234,2,OSD190234-Brutes-02-12,2,12,137.76,10.0,102,196,img/02-crop/die-1181-OSD190234-Brutes-02-12-crop.bmp,HbPtXF5dzhTZ66ws2xLgFWN97/ZoMlkryfZ1yvPBWqdiKv+aprPwc0/sFr4QChV/PWRQCoOfbka5xxC8OA6OqQ==
1182,OSD190234,2,OSD190234-Brutes-02-13,2,13,144.47,11.3,110,212,img/02-crop/die-1182-OSD190234-Brutes-02-13-crop.bmp,c1kBYoHhEPEE4H2YJds+s5V9LdeUd+MdAzdqBudqVno6rAp39WoGAeS6M8RPKbCBlX0KfP2qssU+dIqPC0QfRQ==
1183,OSD190234,2,OSD190234-Brutes-02-14,2,14,143.95,11.71,89,216,img/02-crop/die-1183-OSD190234-Brutes-02-14-crop.bmp,aOdHekvg6xY8iK9caNjiJqGfRLvvoTg5W+L8TZ7XvLXWGaKLYe1e0ecak7kYYLfkiBcxS7pQ6yjHj17cBAwnAw==
1184,OSD190234,2,OSD190234-Brutes-02-15,2,15,141.99,11.08,108,209,img/02-crop/die-1184-OSD190234-Brutes-02-15-crop.bmp,m9ZoVV5Bg+BOBVzJN9xttwuivSybq7ZpKDn/MWKyVSOhQZhUGy6c007DImC1FZh5e+yGy8nOZ6TgffU+K+o5FA==
1185,OSD190234,2,OSD190234-Brutes-02-16,2,16,126.74,15.45,81,203,img/02-crop/die-1185-OSD190234-Brutes-02-16-crop.bmp,kp5IQWOiJ+ZGfzsKlR2xRgOxxnAC5r04ikDxvAOGkg1qESlFr2y65FPGD7Je1QhHff+BbzQpbZQ1nBQavJs9NQ==
1186,OSD190234,2,OSD190234-Brutes-02-17,2,17,120.49,13.25,75,185,img/02-crop/die-1186-OSD190234-Brutes-02-17-crop.bmp,vfTXQ0tY4DEHEpS/s2tyQ0JkOln2jClJyPE/Nfnde77OKbc0G5fQRh0ZPxUOZzwwgc9I2PqVE5DmUtZOqOwwhA==
1187,OSD190234,2,OSD190234-Brutes-02-18,2,18,139.32,10.68,102,199,img/02-crop/die-1187-OSD190234-Brutes-02-18-crop.bmp,S8cDmJ/lZiRa9QPyzkFe2GlsEnRAW6cYxGdgi3Xs181eG1opm1ET4kwPd4wS+n6ON/dxZnZH6mAnHaqz+PLVxw==
1188,OSD190234,2,OSD190234-Brutes-02-19,2,19,142.37,10.78,104,206,img/02-crop/die-1188-OSD190234-Brutes-02-19-crop.bmp,FasOzTmi4PNJK2f6lVgdzutBDgi9JwDbycieDz/pwXVuw/GzB5kslVJxzaZhWgAnq+sqi5/aAsFX/QTVF2fQ4A==
1189,OSD190234,2,OSD190234-Brutes-02-20,2,20,141.71,11.0,109,210,img/02-crop/die-1189-OSD190234-Brutes-02-20-crop.bmp,faid9A43Z9LiqwCd7LWAi4ECMZ9dQCDsO1PUWizGkF31W2DHMHNttbN7M4syzQMJe5UGwgsNolcbs/hLI3GvSw==
1190,OSD190234,2,OSD190234-Brutes-02-21,2,21,138.23,11.24,99,207,img/02-crop/die-1190-OSD190234-Brutes-02-21-crop.bmp,7a9NMx2zg7hj6MenLDFoWgjM8rB0F7Rw/jl4437ycONKWIUdwEaYhoqfJkVHMZu1RAMiSaLzs/I7bd1aQxBDrQ==
1191,OSD190234,2,OSD190234-Brutes-02-22,2,22,122.29,17.57,0,200,img/02-crop/die-1191-OSD190234-Brutes-02-22-crop.bmp,DZrOW6qX4sJEDIMxvDOEOfx8+bOBwcNz4N4HZOYRLjgjdGCBGLBIOpjuHkaSoVEYLsU7KyEhZlcIXBsWVci8dA==
1192,OSD190234,2,OSD190234-Brutes-02-23,2,23,133.93,13.69,93,206,img/02-crop/die-1192-OSD190234-Brutes-02-23-crop.bmp,qSBbD5WbMV8stDse8sXbUYfdX2pL8W8w9gPIG0+vwLJKe4zAr0oyJf7ZclDmWLIxqb0bIZAGjZ/ziVf13iMSoQ==
1193,OSD190234,2,OSD190234-Brutes-02-24,2,24,134.02,13.6,91,207,img/02-crop/die-1193-OSD190234-Brutes-02-24-crop.bmp,WNfxMPk8w6C6z+RmvhVBX+IRQ8O8kcf9RlgtTsS2vsuA4If1fPbxYheb4c+x85SpWw1E304E/dAAAazwJNGCog==
1194,OSD190234,2,OSD190234-Brutes-02-25,2,25,131.41,13.67,71,206,img/02-crop/die-1194-OSD190234-Brutes-02-25-crop.bmp,sJ1UR7rH96nggX0bUU7S1mY0NhboqMwkVz1MPH6TtZ0YGaZJCJLwIWnxVY3GQtJV1+XSn06N8NjgUqx0RH+lPg==
1195,OSD190234,2,OSD190234-Brutes-02-26,2,26,130.39,12.93,94,200,img/02-crop/die-1195-OSD190234-Brutes-02-26-crop.bmp,bJhYq8n3I/a1J1T/h6wGk03tPoDY/X7XEwnWwFuD2Pnve5R4DJgXhkMTebtHpLGlDfPkT011YxsAg/H3661Hdw==
1196,OSD190234,3,OSD190234-Brutes-03-01,3,1,135.4,11.58,97,208,img/02-crop/die-1196-OSD190234-Brutes-03-01-crop.bmp,LshcXosENlKrUYOo+Rra+BW39xj5v6AH85SI2o9ZVwwaCLGzqFRr/j6zhtfMQLx/YxiioGC802hCnRFJVRGPBA==
1197,OSD190234,3,OSD190234-Brutes-03-02,3,2,136.71,11.07,81,194,img/02-crop/die-1197-OSD190234-Brutes-03-02-crop.bmp,kL+1KYig8l5/lbrva9BqVycaDwaK/kuDchszsk6rrgzbPBYhLmlrkaWF3CaBi1oHy94X3eNdnONFVAK4Tq8KqA==
1198,OSD190234,3,OSD190234-Brutes-03-03,3,3,136.98,10.94,98,196,img/02-crop/die-1198-OSD190234-Brutes-03-03-crop.bmp,e8pYj8nF/fNGjHtcbIYyxP3aZiWN/LDbs+Mwnp2RHAiEMqsFd/jN0AVGyjRC2PQvC8NzYEO6kHsDE3Y1zsZRVQ==
1199,OSD190234,3,OSD190234-Brutes-03-04,3,4,137.03,11.7,101,202,img/02-crop/die-1199-OSD190234-Brutes-03-04-crop.bmp,yk4Kbi9NnSp4GzUyajxGeC4ZqQo4/Si1vBi028ise9B88BUgmOu7b7lpXF2xNe7QkI6oXcIPNuab2l/w6fjAbQ==
1200,OSD190234,3,OSD190234-Brutes-03-05,3,5,113.68,12.36,74,179,img/02-crop/die-1200-OSD190234-Brutes-03-05-crop.bmp,Z2+YmiBUVxcTronFjFMjQm30pfi4fykfRrGIbiRF4zD00QxCiOR7jbyR2AYRY53zqTGnc1akGT0OawBA2/Sd+A==
